feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,label_valid,status,source_log,parent_mol_id
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.821771,0.675307576441,0.5,0.212838,0.7083333333333334,0.4583333333333333,0.35294117647058826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,ring_closure_failed,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.821771,0.675307576441,0.5,0.212838,0.7083333333333334,0.4583333333333333,0.35294117647058826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,ring_closure_failed,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.821771,0.675307576441,0.5,0.212838,0.7083333333333334,0.4583333333333333,0.35294117647058826,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,ring_closure_failed,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.821771,0.675307576441,0.5,0.212838,0.7083333333333334,0.4583333333333333,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,ring_closure_failed,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.821771,0.675307576441,0.5,0.212838,0.7083333333333334,0.4583333333333333,0.35294117647058826,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,ring_closure_failed,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.234081,0.5416666666666666,0.4166666666666667,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.234081,0.5416666666666666,0.4166666666666667,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.234081,0.5416666666666666,0.4166666666666667,0.23076923076923078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.234081,0.5416666666666666,0.4166666666666667,0.23076923076923078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_69b6c7ad6e
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,1.0,valid_output,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
0.821771,0.67828,0.55739083388,0.25,0.278291,0.5,0.375,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.225,0.3,0.375,0.15,-0.011,0.19148936170212766,0.2553191489361702,0.3191489361702128,0.06382978723404255,4.680851063829787e-05,0.8,0.03076923076923077,0.15897435897435896,0.08717948717948718,0.09230769230769231,0.0,0.03076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.0,0.09230769230769231,0.10256410256410256,0.035897435897435895,0.0,0.0,0.07179487179487179,0.0,0.0,0.10256410256410256,0.041025641025641026,0.0,duplicate_or_invalid_record,generated_v5_3_model_guided_macrocycles_kaggle_logged_attempt_log.csv,JAK2_9dcdbe0544
