mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_79038ef114,COc1ccccc1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,394.456,3.552,85.59,1,6,5,0.5571,28,28,4,6,0,,True
JAK2_bb041e75cb,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C)cc1,403.486,3.9906,79.38,2,6,5,0.6706,30,30,4,6,0,,True
JAK2_1eae0c1a0e,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1,401.963,4.9547,45.23,1,4,5,0.4854,27,27,4,6,0,,True
JAK2_155bd54352,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,449.946,3.9487,70.82,1,7,5,0.4943,32,32,5,6,0,,True
JAK2_d4e8488591,Cc1cccc(Nc2sc(-c3ccc(F)cc3)cc2C(N)=O)n1,327.384,4.1001,68.01,2,4,4,0.7578,23,23,3,6,0,,True
JAK2_d2047728cd,C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,443.551,3.8998,71.54,2,7,1,0.5529,33,33,5,18,0,,True
JAK2_3c0daf6c94,C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,276.315,2.1258,72.42,2,3,3,0.9016,20,20,3,6,0,,True
JAK2_e510bd5a84,Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,374.444,4.0724,82.29,2,6,0,0.4559,28,28,4,18,0,,True
JAK2_628eb3c7b6,CC[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,363.4,3.4708,94.02,2,6,5,0.5638,27,27,4,6,0,,True
JAK2_8e43755f1e,C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)C,286.379,2.9997,70.67,2,3,3,0.9108,21,21,3,6,0,,True
JAK2_bb43002d12,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccc(C#N)cc4)CC3)nn3cccc23)n[nH]1,427.472,2.3385,118.24,2,7,4,0.5131,32,32,5,6,0,,True
JAK2_bfebc14fe9,CN(c1ncccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O,534.646,2.5954,138.82,2,8,8,0.3517,38,38,5,6,0,,True
JAK2_2e8eed6911,COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12,456.55,3.8132,97.78,2,6,7,0.4389,34,34,5,6,0,,True
JAK2_14d06e82bc,O=c1[nH]ccc2nc(NC3CC(F)(F)C3)c3ccc(F)cc3c12,319.286,3.425,57.78,2,3,2,0.7116,23,23,4,6,0,,True
JAK2_396d75ed4a,Oc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,375.428,4.1958,76.5,2,6,0,0.4531,28,28,4,18,0,,True
JAK2_f1e7af637d,COc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,343.774,2.4818,119.91,3,5,4,0.6717,24,24,3,6,0,,True
JAK2_9af79f3778,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,414.469,2.9772,103.17,2,7,6,0.5978,31,31,4,6,0,,True
JAK2_310f20bf06,COc1ccccc1-c1cccn2nc(Nc3ccccc3)nc12,316.364,4.1485,51.45,1,4,4,0.6144,24,24,4,6,0,,True
JAK2_c7e43971d9,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCC5)c4)cccn3n2)cc1,388.431,4.1497,97.34,2,5,5,0.533,29,29,5,6,0,,True
JAK2_0ac788f1c8,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2ccc(F)cc21,402.389,2.9695,90.62,1,5,2,0.4903,30,30,6,6,0,,True
JAK2_d918415381,C[C@@H](N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,418.501,3.0095,105.4,3,7,6,0.565,31,31,4,6,0,,True
JAK2_1f52d2b5fb,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccc(F)cc4)CC3)nn3cccc23)n[nH]1,434.479,2.5348,94.45,2,6,5,0.5014,32,32,5,6,0,,True
JAK2_ea3454a640,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCS(=O)(=O)CC3)n2)n[nH]1,464.502,2.3328,128.79,3,9,6,0.5033,32,32,4,6,0,,True
JAK2_8a3262104b,COC1(OC)C(/C=C/c2ccc(Cl)cc2)C(C#N)(C#N)C1(OC)OC,362.813,2.9948,84.5,0,6,6,0.7231,25,25,2,6,0,,True
JAK2_1e564fa7d7,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,469.25,5.494,97.11,3,4,4,0.4707,31,31,3,6,0,,True
JAK2_4501ba46d1,C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],206.245,2.3901,46.38,0,3,3,0.5631,15,15,1,6,0,,False
JAK2_4bb01853de,NC(=O)c1cc(-c2ccccc2)sc1Nc1ccncc1,295.367,3.6526,68.01,2,4,4,0.7716,21,21,3,6,0,,True
JAK2_c9bfb2d3c7,CC(=O)Nc1ccc(-c2ccnc(NCC3CN(C(=O)c4c(Cl)cccc4Cl)C3)n2)cc1,470.36,4.5929,87.22,2,5,6,0.5504,32,32,4,6,0,,True
JAK2_c5f0ce9a58,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(C2CCN(c3ccnc(F)c3)C2)c1,467.504,4.1755,90.12,3,5,5,0.3028,35,35,6,6,0,,True
JAK2_8d121a21d7,C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,361.405,3.6956,55.97,0,5,3,0.3164,26,26,4,6,0,,True
JAK2_bd7e2a006f,Cc1ccc(C)c(Sc2ccc(NC(=O)CCl)cc2)c1,305.83,4.6319,29.1,1,2,4,0.8343,20,20,2,6,0,,True
JAK2_c706b0d0af,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,347.805,5.1038,60.94,3,3,1,0.4484,25,25,5,7,0,,True
JAK2_b3e12556ba,O=C(CCl)/N=c1\sccn1Cc1cccc2ccccc12,316.813,3.4172,34.36,0,2,3,0.6818,21,21,3,6,0,,True
JAK2_aaf047e8d1,O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2cc(F)ccc21,402.389,2.9695,90.62,1,5,2,0.4903,30,30,6,6,0,,True
JAK2_461a3f3c7d,c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,240.31,3.4178,46.5,1,2,1,0.7081,18,18,4,6,0,,False
JAK2_ddf177d193,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F,331.35,4.5895,60.94,3,3,1,0.478,25,25,5,7,0,,True
JAK2_0a1653190d,O=c1[nH]ccc2c(Nc3c(Cl)cc(F)cc3Cl)nc3ccncc3c12,375.19,4.6608,70.67,2,4,2,0.5002,25,25,4,6,0,,True
JAK2_0363b39a60,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,306.373,3.4664,83.18,1,4,4,0.7997,23,23,4,6,0,,True
JAK2_ae95950785,CN1C/C=C/CCOc2cc(F)cc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,390.462,4.7968,50.28,1,5,0,0.5591,29,29,4,18,0,,True
JAK2_4f6fafc041,N#CCNCc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,400.486,3.337,86.1,2,7,7,0.4646,30,30,4,6,0,,True
JAK2_c4daf046a9,COc1cccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)c1,442.968,4.4287,58.64,1,4,9,0.4986,30,30,3,6,0,,True
JAK2_8b3014135f,O=c1[nH]ccc2c3[nH]c(-c4ccccc4Cl)nc3c3ccc(F)cc3c12,363.779,5.0171,61.54,2,2,1,0.4108,26,26,5,6,0,,True
JAK2_756371ea71,CCN(CC)CCC(=O)Nc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)COCC=CCOC2,501.631,5.1606,88.61,2,7,6,0.4511,37,37,4,18,0,,True
JAK2_8945d571c7,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2Cl)n1,387.23,3.6889,77.11,1,4,3,0.5818,26,26,4,6,0,,True
JAK2_bc6702e419,Oc1ccccc1OCCOc1ccccc1OCCOc1ccccc1O,382.412,4.0134,77.38,2,6,10,0.516,28,28,3,6,0,,True
JAK2_b9143a07c2,Cc1cccc(Nc2sc(-c3ccccc3)cc2C(N)=O)n1,309.394,3.961,68.01,2,4,4,0.7662,22,22,3,6,0,,True
JAK2_364f20ca75,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nn12,432.503,4.0394,57.93,1,6,5,0.5138,32,32,5,6,0,,True
JAK2_b8daa3eb9c,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)O,302.378,1.7847,92.65,3,4,3,0.8056,22,22,3,6,0,,True
JAK2_2d0f835aa0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.541,4.354,69.45,2,4,2,0.4058,35,35,8,7,0,,True
JAK2_38c30605e5,NC(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)CC1,338.375,0.4702,128.32,2,7,3,0.71,25,25,4,6,0,,True
JAK2_eeec6fe338,CNC(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1F,368.416,3.4717,84.73,2,5,5,0.7203,27,27,3,6,0,,True
JAK2_1afb564680,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.443,3.4051,74.73,1,7,10,0.4179,29,29,3,6,0,,True
JAK2_36d4ea3267,CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(-c4cccc(Cl)c4)cn32)C2CCCCC2)CC1,512.098,3.7956,69.61,2,4,7,0.5931,36,36,5,6,0,,True
JAK2_7f60871f3d,Cc1cc(NC(=O)c2cnn3ccc(N)nc23)n(-c2cccc(Cl)c2)n1,367.8,2.7113,103.13,2,5,3,0.5791,26,26,4,6,0,,True
JAK2_0cfea2ed0f,CCN1CCC[C@@H]1C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,472.593,4.1466,82.62,2,7,7,0.5346,35,35,5,6,0,,True
JAK2_19546a8603,NC(=O)c1cnc(NC2CCC2)c2c1[nH]c1ccc(F)cc12,298.321,2.9185,83.8,3,3,3,0.6948,22,22,4,6,0,,True
JAK2_f2b3ea21e5,CCc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,341.802,3.0356,110.68,3,4,4,0.6768,24,24,3,6,0,,True
JAK2_a1446e7a88,Cc1cccc(Nc2sc(-c3cccc(C(F)(F)F)c3)cc2C(N)=O)n1,377.391,4.9798,68.01,2,4,4,0.6738,26,26,3,6,0,,True
JAK2_58c426eb98,CN(C)C(=O)c1cnc(N)c2cc(-c3ccc(N4CCOCC4)cc3)sc12,382.489,3.0839,71.69,1,6,3,0.7537,27,27,4,6,0,,True
JAK2_e67c843919,COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)cc(OC)c1OC,489.547,4.9609,65.94,0,7,7,0.3635,36,36,5,6,0,,True
JAK2_54bc2cde0b,CCCN(CC)C(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,394.483,1.8533,105.54,1,7,6,0.68,29,29,4,6,0,,True
JAK2_3e73acf8f9,Cc1cc(-c2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc2c(N)n[nH]c12,358.467,3.1973,100.87,3,4,3,0.669,25,25,3,6,0,,True
JAK2_1bae26071f,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1,327.367,3.2673,91.41,3,6,5,0.666,24,24,3,6,0,,True
JAK2_43e3933bb0,Oc1ccc(/C=N/N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1O,385.467,3.8193,59.3,2,5,3,0.5316,29,29,5,6,0,,True
JAK2_81f4cf91ce,Nc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cccc(Cl)c3)c2n1,353.773,2.6073,113.99,3,5,3,0.5235,25,25,4,6,0,,True
JAK2_835443b633,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)cc(N3CCOCC3)n2)n[nH]1,399.434,2.1905,116.77,3,9,6,0.5732,29,29,4,6,0,,True
JAK2_cc50037476,Cc1ccc(Cl)cc1-c1c(C(N)=O)cc(-c2ccnc(N)n2)n1C,341.802,2.792,99.82,2,4,3,0.7645,24,24,3,6,0,,True
JAK2_74ba919b0d,Cn1cc(-c2ccc3[nH]c4c(C(N)=O)cnc(NC5CCCCC5)c4c3c2)cn1,388.475,3.9601,101.62,3,4,4,0.4924,29,29,5,6,0,,True
JAK2_09edf70d78,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)cc2)CC1,462.579,3.2952,82.84,1,7,5,0.4873,33,33,5,6,0,,True
JAK2_80be2c2b1c,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3cccc(CN4CCC(O)CC4)c3)n2)cc1,453.568,3.2154,107.45,3,7,7,0.5041,32,32,4,6,0,,True
JAK2_530b044866,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,343.441,3.3498,83.79,2,7,4,0.5529,23,23,4,6,0,,True
JAK2_85fd848de0,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(F)cc5)cccn4n3)c2)CC1,402.477,4.0308,48.7,1,5,4,0.5585,30,30,5,6,0,,True
JAK2_0009cd3e47,COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCOCC5)cc4)c3n2)cc(OC)c1OC,499.567,4.3909,83.01,0,7,7,0.3729,37,37,5,6,0,,True
JAK2_a35ca9dec6,Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CCC4)C(F)(F)F)c23)cn1,442.445,4.3584,101.62,3,4,5,0.4275,32,32,5,6,0,,True
JAK2_a77381c7fa,CC(C)[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,377.427,3.7168,94.02,2,6,5,0.5505,28,28,4,6,0,,True
JAK2_e36d161f74,CC(C)(C)/C(O)=C/c1nc2cc(Cl)ccc2oc1=O,279.723,3.7864,63.33,1,4,1,0.8069,19,19,2,6,0,,True
JAK2_045f56a0d8,Cc1ccccc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,293.33,2.1282,110.68,3,4,3,0.6865,22,22,3,6,0,,True
JAK2_2e18080ebc,NC(=O)c1ccc(NC2CCCCC2)c2c1[nH]c1cc(-c3cn[nH]c3)ccc12,373.46,4.5547,99.59,4,3,4,0.422,28,28,5,6,0,,True
JAK2_2d7f8229b0,C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,345.402,4.6047,56.27,1,5,0,0.6033,26,26,4,17,0,,True
JAK2_1a53985c87,CC(C)(C)[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,380.452,1.9618,114.77,2,5,4,0.8413,28,28,4,6,0,,True
JAK2_09aa9d2602,O=C(Nc1ccncc1-c1cccc(Cl)c1)c1cnn2cccnc12,349.781,3.697,72.18,1,4,3,0.6118,25,25,4,6,0,,True
JAK2_48bd1ba00c,CN1C/C=C/COCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)C1,372.472,4.4054,50.28,1,5,0,0.5927,28,28,4,18,0,,True
JAK2_d2383e7b94,O=C(Nc1cccc(NC(=O)c2cccs2)c1)c1ccc([N+](=O)[O-])o1,357.347,3.7539,114.48,2,6,5,0.5329,25,25,3,6,0,,True
JAK2_1bffeba5d4,Cn1cc(C2=C(Nc3cccc(OCCNc4ccnc(F)c4)c3)C(=O)NC2=O)c2ccccc21,471.492,3.6829,97.28,3,6,8,0.2061,35,35,5,6,0,,True
JAK2_6893d6e910,COc1ccc2c(-c3cnc4[nH]cc(C(=O)N[C@H](C)C(=O)N5CC(C#N)C5)c4n3)nn(C)c2c1,458.482,1.6205,141.82,2,7,5,0.4627,34,34,5,6,0,,True
JAK2_13ea9ede8c,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,346.416,1.4503,115.27,2,6,3,0.7415,24,24,3,6,0,,True
JAK2_5398c0fb90,Nc1n[nH]c2ccc(-c3ccncc3)cc12,210.24,2.2071,67.59,2,3,1,0.6466,16,16,3,6,0,,False
JAK2_e239028038,O=c1[nH]ccc2c1c1cc(F)ccc1n2-c1ccccc1,278.286,3.6111,37.79,1,1,1,0.5672,21,21,4,6,0,,True
JAK2_9ca9771eb4,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(C)(=O)=O)n2C)c1ccccc1,490.549,2.5647,136.69,2,8,6,0.3706,35,35,5,6,0,,True
JAK2_6e51f2408c,Nc1ncc(C(=O)NCc2ccccc2)c2sc(-c3ccc(N4CCOCC4)cc3)cc12,444.56,4.3121,80.48,2,6,5,0.4794,32,32,5,6,0,,True
JAK2_def8ecbfaa,CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,272.352,2.4238,72.42,2,3,3,0.9009,20,20,3,6,0,,True
JAK2_0081f277ed,Cc1nc(O)c(C(=O)/C=C/c2ccccc2F)c2c1CCCC2,311.356,4.0096,50.19,1,3,3,0.6881,23,23,3,6,0,,True
JAK2_3ef5e26b1b,C[C@H](Nc1cc(N2CCN(C)CC2)nc(-n2cnc3ccncc32)n1)c1ccccc1,414.517,3.1354,75.0,1,7,5,0.5377,31,31,5,6,0,,True
JAK2_554d4dcabe,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,477.912,3.887,141.08,3,9,9,0.3059,34,34,4,6,0,,True
JAK2_5e0d0678dd,CN1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,457.578,4.242,62.75,1,7,1,0.5485,34,34,5,18,0,,True
JAK2_4811c772c8,CN1CCN(c2ccc(Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)cc2)CC1,462.579,3.2952,82.84,1,7,5,0.4873,33,33,5,6,0,,True
JAK2_69019d0e87,O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12,381.769,5.1562,61.54,2,2,1,0.3941,27,27,5,6,0,,True
JAK2_32235f59d7,CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,398.417,4.6585,98.65,3,6,7,0.5354,29,29,3,6,0,,True
JAK2_3bf22d85ab,CNC(=O)c1cnc(N)c2cc(-c3ccc(C)cc3)sc12,297.383,3.2135,68.01,2,4,2,0.7629,21,21,3,6,0,,True
JAK2_0e403bb8eb,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,438.561,3.7981,96.26,2,8,5,0.4892,31,31,5,6,0,,True
JAK2_8085aa66d8,O=c1[nH]c2cnc(-n3cnc4ccc(Cl)cc43)nc2n1[C@@H]1CCOc2c(F)cccc21,436.834,3.6229,90.62,1,5,2,0.4561,31,31,6,6,0,,True
JAK2_64fd5f45df,O=c1[nH]nc2cc(CO)c3ccc(-c4ccc[nH]4)cc3n12,280.287,1.6632,86.18,3,3,2,0.5217,21,21,4,6,0,,True
JAK2_740dfa4307,Cc1cnc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2F)s1,434.476,3.063,100.98,2,10,6,0.606,30,30,4,6,0,,True
JAK2_f8c51b4e32,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,527.669,5.9864,80.65,2,5,7,0.3088,39,39,5,6,0,,True
JAK2_705f4d3109,CCN(Cc1ccccc1)c1cc(-c2c(N)nn3cccnc23)ncn1,345.41,2.795,85.23,1,6,5,0.5985,26,26,4,6,0,,True
JAK2_53772733cc,CC(C)n1cnc(Nc2nc(N3CCN(C(=O)Cc4ccccc4)CC3)nn3cccc23)c1,444.543,3.1416,83.59,1,6,6,0.492,33,33,5,6,0,,True
JAK2_1b4ffa7121,C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,412.537,5.4379,50.28,1,5,2,0.5683,31,31,5,18,0,,True
JAK2_a4a67430fd,Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)cc1C(N)=O,502.022,4.6948,103.17,3,6,6,0.3538,36,36,5,6,0,,True
JAK2_b9ef0dccdb,CN(C)CCN(C)c1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,459.594,4.488,62.75,1,7,4,0.577,34,34,4,18,0,,True
JAK2_08437571d3,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(Cl)c(c2)C1,406.917,5.3111,50.28,1,5,0,0.5124,29,29,4,18,0,,True
JAK2_217581626e,CC(NC(=O)c1c[nH]c2ncc(Oc3ccccc3)nc12)C1CC1,322.368,3.2785,79.9,2,4,5,0.7553,24,24,4,6,0,,True
JAK2_e9c7a5b465,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCN4CCNCC4)c23)cc1,512.658,4.3485,78.69,2,8,10,0.3248,38,38,6,6,0,,True
JAK2_71edeb4185,COCCOc1ccc2cc1CN(C)C/C=C/COCc1ccc(s1)-c1ccnc(n1)N2,452.58,4.4921,68.74,1,8,4,0.4619,32,32,4,18,0,,True
JAK2_03d1a9b8de,Cn1cc2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc4cc[nH]c(=O)c34)cccc2n1,405.462,2.0815,122.88,4,7,4,0.4099,30,30,5,6,0,,True
JAK2_0be2eaa185,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cccc(CO)c5)n4n3)cc2)CC1,456.55,3.2969,108.78,3,6,7,0.3938,34,34,5,6,0,,True
JAK2_3f16324207,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccccc1OCCn1ccnc1,413.437,2.923,101.04,3,5,7,0.4046,31,31,5,6,0,,True
JAK2_7ca62fbe94,NC(=O)c1cnc(NC2CCCCC2)c2c1[nH]c1cc(-c3ccn[nH]3)ccc12,374.448,3.9497,112.48,4,4,4,0.4331,28,28,5,6,0,,True
JAK2_10b80be790,C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccccc1,331.383,2.9416,94.02,2,6,4,0.597,25,25,4,6,0,,True
JAK2_ca39d80886,Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2cccc(Cl)c2)n1,352.785,3.1291,77.11,1,4,3,0.6142,25,25,4,6,0,,True
JAK2_de6f2c0053,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,483.503,3.8393,99.35,3,6,6,0.2848,36,36,6,6,0,,True
JAK2_b9e55f321a,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5cccc(F)c5F)c4n3)c2c1,403.352,2.6567,105.18,1,5,3,0.4986,30,30,5,6,0,,True
JAK2_a02e005f3d,c1cc(-c2ccc3[nH]ccc3c2)nc(Nc2ccc(N3CCOCC3)cc2)n1,371.444,4.2051,66.07,2,5,4,0.5626,28,28,5,6,0,,True
JAK2_293336b5e7,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,352.377,3.139,115.2,3,7,5,0.6458,26,26,3,6,0,,True
JAK2_21004599ab,CC(C)[C@@H](Nc1nc2cc[nH]c(=O)c2c2cc(F)ccc12)C(F)(F)F,353.319,4.2142,57.78,2,3,3,0.5477,25,25,3,6,0,,True
JAK2_d6f0557177,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,539.592,4.7147,120.5,2,7,8,0.2929,40,40,5,6,0,,True
JAK2_b5896fea79,O=c1[nH]ccc2c(Nc3c(Cl)cc(-c4ccn[nH]4)cc3Cl)nc3ccncc3c12,423.263,4.9118,99.35,3,5,3,0.3583,29,29,5,6,0,,True
JAK2_05f74b5037,O=C(/C(=N/N=C/c1ccc(O)c(O)c1)c1ccccc1)c1ccccc1,344.37,3.8039,82.25,2,5,5,0.3195,26,26,3,6,0,,True
JAK2_d0c920f8f8,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,425.521,4.3972,111.43,3,6,4,0.3876,31,31,6,6,0,,True
JAK2_74828577f1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc1,428.496,2.9728,103.17,2,7,7,0.5578,32,32,4,6,0,,True
JAK2_1ba3bb3de3,CC[C@@H](NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1,476.928,2.6554,132.59,2,6,5,0.4547,34,34,5,6,0,,True
JAK2_7129b581e3,O=S(=O)(c1cnc(Cl)c(Br)c1)N1CCc2ccccc21,373.659,3.2489,50.27,0,3,2,0.7594,20,20,3,6,0,,True
JAK2_62383467ec,CS(=O)(=O)c1ccc(-c2cccn3nc(N)nc23)cc1,288.332,1.382,90.35,1,5,2,0.769,20,20,3,6,0,,True
JAK2_c5435d61dd,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cnccn5)n4n3)cc2)CC1,428.5,2.5946,114.33,2,7,6,0.485,32,32,5,6,0,,True
JAK2_bdd65b23cd,CC1(c2cc(Nc3nc(N4CCN(C(=O)Cc5ccccc5)CC4)nn4cccc34)n[nH]2)CC1,456.554,3.1388,94.45,2,6,6,0.463,34,34,6,6,0,,True
JAK2_68a5f26e29,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,461.515,3.9911,111.39,1,7,7,0.5662,32,32,3,6,0,,True
JAK2_b64ffa805a,Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cccc(Cl)c2)n1,352.785,3.0355,77.11,1,4,3,0.6145,25,25,4,6,0,,True
JAK2_0a1f55b83a,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,332.407,3.7238,50.28,1,5,4,0.7889,25,25,4,6,0,,True
JAK2_208a9ca923,Cc1oc2c(O)c(O)ccc2c(=O)c1-c1cnn(-c2ccccc2)c1,334.331,3.3653,88.49,2,5,2,0.5488,25,25,4,6,0,,True
JAK2_321a0f12a6,C[C@H](Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCOCC1)n2C)c1ccccc1,482.548,3.3477,102.99,1,7,5,0.4098,36,36,6,6,0,,True
