fragment_id,mol_id,macrocycle_smiles,core_smiles,linker_smiles,macrocycle_ring_size,linker_heavy_atoms,core_heavy_atoms,linker_max_ring_size,bond_a,bond_b,anchor_atom_indices,notes
FRAG_df5305cd2f,PREMAC_23e5646a75,c1ccc(CNCCCCCN2CCCN(CCCCCNCc3ccccc3)CCN(CCCCCNCc3ccccc3)CCCN(CCCCCNCc3ccccc3)CC2)cc1,[12*]N(CCCCCNCc1ccccc1)CCN(CCCCCNCc1ccccc1)CCCN(CCCCCNCc1ccccc1)CCN([14*])CCCCCNCc1ccccc1,[11*]CCC[15*],14,3,63,0,11,14,11;15,largest_ring_two_bond_fragmentation
FRAG_be111f1b7e,PREMAC_23e5646a75,c1ccc(CNCCCCCN2CCCN(CCCCCNCc3ccccc3)CCN(CCCCCNCc3ccccc3)CCCN(CCCCCNCc3ccccc3)CC2)cc1,[45*]N(CCCCCNCc1ccccc1)CCN(CCCCCNCc1ccccc1)CCCN(CCCCCNCc1ccccc1)CCN([47*])CCCCCNCc1ccccc1,[31*]CCC[48*],14,3,63,0,44,47,31;48,largest_ring_two_bond_fragmentation
FRAG_5c1037be29,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[4*]/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@H](C)[C@H](O)[C@@H]([6*])C)OC,[3*]/C(C)=C/[7*],16,3,62,0,3,6,3;7,largest_ring_two_bond_fragmentation
FRAG_0613f4cc2e,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[4*]/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@H](C)[C@@H]([7*])O)OC,[3*]/C(C)=C/[C@H]([9*])C,16,5,60,0,3,8,3;9,largest_ring_two_bond_fragmentation
FRAG_ca624f52fe,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[4*]/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@@H]([9*])C)OC,[3*]/C(C)=C/[C@@H](C)[C@H]([11*])O,16,7,58,0,3,10,3;11,largest_ring_two_bond_fragmentation
FRAG_5f86691eaa,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[4*]/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[11*])OC,[3*]/C(C)=C/[C@@H](C)[C@@H](O)[C@H]([13*])C,16,9,56,0,3,12,3;13,largest_ring_two_bond_fragmentation
FRAG_52b44a44db,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[4*]/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(/[13*])C)OC,[3*]/C(C)=C/[C@@H](C)[C@@H](O)[C@@H](C)C[14*],16,10,55,0,3,13,3;14,largest_ring_two_bond_fragmentation
FRAG_099abf0f2c,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[3*]/C(C)=C/[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H]([62*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[4*]/C=C(\OC)C(=O)O[22*],16,7,58,0,3,61,4;22,largest_ring_two_bond_fragmentation
FRAG_581b9ab227,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[3*]/C(C)=C/[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H](O[63*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[4*]/C=C(\OC)C([62*])=O,16,6,59,0,3,62,4;62,largest_ring_two_bond_fragmentation
FRAG_22510012bc,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[2*]C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@H](C)[C@H](O)[C@H](C)/C=C(/[3*])C)OC,[4*]/C=C(/[63*])OC,16,4,61,0,3,64,4;63,largest_ring_two_bond_fragmentation
FRAG_22e3683659,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*]/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@@H]([9*])C)OC,[6*][C@@H](C)[C@H]([11*])O,16,4,61,0,6,10,6;11,largest_ring_two_bond_fragmentation
FRAG_8b4275f9d9,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*]/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[11*])OC,[6*][C@@H](C)[C@@H](O)[C@H]([13*])C,16,6,59,0,6,12,6;13,largest_ring_two_bond_fragmentation
FRAG_de01ddbb83,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*]/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(/[13*])C)OC,[6*][C@@H](C)[C@@H](O)[C@@H](C)C[14*],16,7,58,0,6,13,6;14,largest_ring_two_bond_fragmentation
FRAG_08470ce6fa,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*]/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/[16*])OC,[6*][C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/[17*],16,10,55,0,6,16,6;17,largest_ring_two_bond_fragmentation
FRAG_908bc223fc,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*]/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H]([18*])OC,[6*][C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[19*],16,12,53,0,6,18,6;19,largest_ring_two_bond_fragmentation
FRAG_b757fe8416,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[6*][C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H]([62*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[7*]/C=C(C)/C=C(\OC)C(=O)O[22*],16,10,55,0,6,61,7;22,largest_ring_two_bond_fragmentation
FRAG_00eb779ae3,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[6*][C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H](O[63*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[7*]/C=C(C)/C=C(\OC)C([62*])=O,16,9,56,0,6,62,7;62,largest_ring_two_bond_fragmentation
FRAG_51a7fe672a,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[2*]C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@H](C)[C@H](O)[C@@H]([6*])C)OC,[7*]/C=C(C)/C=C(/[63*])OC,16,7,58,0,6,64,7;63,largest_ring_two_bond_fragmentation
FRAG_044ec9f2ba,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[9*][C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[11*])OC,[7*][C@@H](O)[C@H]([13*])C,16,4,61,0,8,12,7;13,largest_ring_two_bond_fragmentation
FRAG_c671c520d7,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[9*][C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(/[13*])C)OC,[7*][C@@H](O)[C@@H](C)C[14*],16,5,60,0,8,13,7;14,largest_ring_two_bond_fragmentation
FRAG_f0a71210f2,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[9*][C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/[16*])OC,[7*][C@@H](O)[C@@H](C)C/C(C)=C/[17*],16,8,57,0,8,16,7;17,largest_ring_two_bond_fragmentation
FRAG_fcc0264a54,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[9*][C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H]([18*])OC,[7*][C@@H](O)[C@@H](C)C/C(C)=C/C=C/[19*],16,10,55,0,8,18,7;19,largest_ring_two_bond_fragmentation
FRAG_f43b47f168,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*][C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H]([62*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[9*][C@H](C)/C=C(C)/C=C(\OC)C(=O)O[22*],16,12,53,0,8,61,9;22,largest_ring_two_bond_fragmentation
FRAG_d14528ebc9,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[7*][C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@H](O[63*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[9*][C@H](C)/C=C(C)/C=C(\OC)C([62*])=O,16,11,54,0,8,62,9;62,largest_ring_two_bond_fragmentation
FRAG_718aaaf351,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[2*]C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@H](C)[C@@H]([7*])O)OC,[9*][C@H](C)/C=C(C)/C=C(/[63*])OC,16,9,56,0,8,64,9;63,largest_ring_two_bond_fragmentation
FRAG_54337af81f,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[11*][C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(/[13*])C)OC,[9*][C@@H](C)C[14*],16,3,62,0,10,13,9;14,largest_ring_two_bond_fragmentation
FRAG_084711c816,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[11*][C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/[16*])OC,[9*][C@@H](C)C/C(C)=C/[17*],16,6,59,0,10,16,9;17,largest_ring_two_bond_fragmentation
FRAG_ae9a56f493,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[11*][C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H]([18*])OC,[9*][C@@H](C)C/C(C)=C/C=C/[19*],16,8,57,0,10,18,9;19,largest_ring_two_bond_fragmentation
FRAG_e2566b89be,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[11*][C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@@H]([19*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[9*][C@@H](C)C/C(C)=C/C=C/[C@@H]([22*])OC,16,11,54,0,10,21,9;22,largest_ring_two_bond_fragmentation
FRAG_940f4adbf2,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[2*]C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/C=C(\C)C[C@@H]([9*])C)OC,[11*][C@H](O)[C@H](C)/C=C(C)/C=C(/[63*])OC,16,11,54,0,10,64,11;63,largest_ring_two_bond_fragmentation
FRAG_d004fc7afa,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[13*][C@H](C)[C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/[16*])OC,[11*]C/C(C)=C/[17*],16,4,61,0,12,16,11;17,largest_ring_two_bond_fragmentation
FRAG_8c4e749b25,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[13*][C@H](C)[C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H]([18*])OC,[11*]C/C(C)=C/C=C/[19*],16,6,59,0,12,18,11;19,largest_ring_two_bond_fragmentation
FRAG_c0e45c4f16,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[13*][C@H](C)[C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@@H]([19*])[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1,[11*]C/C(C)=C/C=C/[C@@H]([22*])OC,16,9,56,0,12,21,11;22,largest_ring_two_bond_fragmentation
FRAG_f9ba8224d5,PREMAC_bcf9dee9a6,CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](C(=O)OCNC(=O)OCC3c4ccccc4-c4ccccc43)[C@H](C)[C@@H](C(C)C)O2)OC1=O,[14*]C[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C=C(\OC)C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](C(=O)OCNC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C)[C@@H](C(C)C)O1)[C@H](/C=C/[16*])OC,[13*]/C(C)=C/[17*],16,3,62,0,13,16,13;17,largest_ring_two_bond_fragmentation
